,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15675,12796.0,Appareil Fixe-Vast Apparaat,Koningin Astridlaan,6.0,2830,Willebroek,Antwerpen,Yes,Yes,,51.160025149999996,4.665497406574342
15676,12828.0,Appareil Fixe-Vast Apparaat,Golflaan,44.0,9830,Sint-Martens-Latem,Oost-Vlaanderen,Yes,Yes,,51.010419150000004,3.6311822445619013
15677,12830.0,Appareil Fixe-Vast Apparaat,Molenborre,27.0,1500,Halle,Vlaams-Brabant,Yes,Yes,,50.787551699999995,4.201787702724674
15678,12831.0,Appareil Fixe-Vast Apparaat,Hoge Mauw,250.0,2370,Arendonk,Antwerpen,Yes,Yes,,51.298344,5.107334044275634
15679,12832.0,Appareil Fixe-Vast Apparaat,Wouwerstraat,,2480,Dessel,Antwerpen,Yes,Yes,,51.1704801,5.1298602
15680,12833.0,Appareil Fixe-Vast Apparaat,Kasteelstraat,32.0,9660,Brakel,Oost-Vlaanderen,Yes,Yes,,50.9148598,3.5496242
15681,12834.0,Appareil Fixe-Vast Apparaat,Wielendaalstraat,33.0,9660,Brakel,Oost-Vlaanderen,Yes,Yes,,50.80358795,3.76241217858857
15682,12838.0,Appareil Fixe-Vast Apparaat,Kleinewinkellaan,,1853,Grimbergen,Vlaams-Brabant,Yes,Yes,,50.9141033,4.3646952
15683,12875.0,Appareil Fixe-Vast Apparaat,Rue Charles Jaumotte,33.0,1300,Wavre,Brabant wallon (le),Yes,Yes,,50.6952924,4.5754668
15684,12875.0,Appareil Fixe-Vast Apparaat,Rue Charles Jaumotte,33.0,1300,Wavre,Brabant wallon (le),Yes,Yes,,50.6952924,4.5754668
15685,15639.0,Appareil Fixe-Vast Apparaat,Vorselaarsebaan,60.0,2200,Herentals,Antwerpen,Yes,No,Weekdagen: 8U00 - 22U00 - Weekends: 8U00 - 18U00 (Sluitingstijd Kan Later Zijn),51.18999575,4.8190591591404175
15686,12879.0,Appareil Fixe-Vast Apparaat,Rue Paul Dâ€™Andrimont,107.0,4630,Soumagne,Liège,Yes,Yes,,,
15687,12879.0,Appareil Fixe-Vast Apparaat,Rue Paul Dâ€™Andrimont,107.0,4630,Soumagne,Liège,Yes,Yes,,,
15688,12880.0,Appareil Fixe-Vast Apparaat,Kerkplein,3.0,9667,Horebeke,Oost-Vlaanderen,Yes,Yes,,50.837771000000004,3.686929122291126
15689,12881.0,Appareil Fixe-Vast Apparaat,Stene,,9667,Horebeke,Oost-Vlaanderen,Yes,Yes,,50.8253308,3.6856948
15690,12893.0,Appareil Fixe-Vast Apparaat,OrchideeÃ«nstraat,10.0,1070,Anderlecht,,Yes,Yes,,,
15691,12894.0,Appareil Fixe-Vast Apparaat,Ninoofsesteenweg,377.0,1700,Dilbeek,Vlaams-Brabant,Yes,Yes,,50.84372585,4.258875821626566
15692,12899.0,Appareil Fixe-Vast Apparaat,Industrielaan,22.0,2250,Olen,Antwerpen,Yes,Yes,,51.14906635,4.87559265222178
15693,15640.0,Appareil Fixe-Vast Apparaat,Dr.V.Walsplein,30.0,3070,Kortenberg,Vlaams-Brabant,Yes,Yes,,50.8857402,4.538439648510167
